loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
25,4,Graduate,No,1743332,22697582,11,524,2137564,14505151,8787421,5879071,Rejected
26,3,Not Graduate,Yes,1140449,28139503,10,744,21232653,9770266,23483591,2514909,Approved
27,2,Not Graduate,Yes,4607789,8994208,2,609,28444747,14268699,11136922,14112258,Approved
28,4,Graduate,No,3322119,31337577,13,384,22493527,16949115,4588716,4556549,Rejected
29,3,Not Graduate,No,2188339,31762108,9,329,4348544,11313628,22552427,11307373,Rejected
30,2,Graduate,Yes,1371136,6007427,18,472,10252424,61267,840068,11297706,Rejected
31,2,Graduate,Yes,8804687,14020638,4,394,21055562,16776274,3650952,6506986,Rejected
32,1,Graduate,No,6220057,26864810,18,826,23248161,8482363,20767495,2404161,Approved
33,0,Not Graduate,No,6970851,34542942,2,462,11738356,8899732,35223119,6940403,Rejected
34,3,Graduate,Yes,1357228,29191259,16,681,27979191,11333455,28049209,2140394,Approved
35,5,Graduate,No,3544140,18790497,16,376,5923143,17685185,604582,5176441,Rejected
36,0,Not Graduate,No,6284147,12058684,9,565,21585269,10213911,4267531,5630965,Approved
37,5,Not Graduate,No,5372639,35970760,7,861,14447032,4028652,16898675,7618755,Approved
38,4,Not Graduate,Yes,7009846,34583432,4,686,20711433,14215790,16828401,2740622,Approved
39,1,Not Graduate,No,6760906,35455497,8,473,17344182,12280523,1564503,12434046,Rejected
40,3,Not Graduate,No,4250700,12244695,14,749,12578003,1271128,10042153,1159869,Approved
41,0,Not Graduate,No,7872006,17407826,15,601,23727534,10333762,4974783,14488934,Rejected
42,4,Not Graduate,No,2744326,9858219,5,441,24482415,15237084,22230047,4597785,Rejected
43,4,Not Graduate,Yes,985442,37718055,2,898,23782585,17151496,25806401,7196138,Approved
44,2,Graduate,Yes,9151088,34290196,12,863,2585167,5493508,15307707,12871312,Approved
45,0,Graduate,Yes,420684,7092073,13,640,12310576,10137129,22403766,9617197,Rejected
46,5,Not Graduate,Yes,2979956,9983177,20,319,21815796,15990050,7897526,831034,Rejected
47,2,Graduate,Yes,1321636,21940365,16,547,25222989,11324940,33382899,8880166,Rejected
48,5,Not Graduate,Yes,2471935,16587696,12,608,10534012,8138065,172194,8321745,Rejected
49,4,Graduate,No,4070964,18328228,13,858,21550640,3574323,19771595,13709811,Approved
50,4,Not Graduate,No,1470170,14722575,14,740,16469840,832620,12603783,8276157,Approved
51,4,Graduate,No,4773725,26718267,10,433,6419504,13387682,17673991,14584184,Rejected
52,1,Not Graduate,No,9287779,35504024,14,606,25985245,18699946,20233556,7803356,Rejected
53,2,Graduate,Yes,1537324,36255100,5,407,12943172,11655903,25323473,2827255,Rejected
54,2,Graduate,Yes,9280516,18145241,17,584,17606069,15142656,36424996,7430978,Approved
55,2,Graduate,Yes,4229301,32753344,18,621,8393117,13137114,21998737,13485646,Approved
56,0,Not Graduate,Yes,6006080,27516910,10,606,744422,6747631,8917059,253376,Approved
57,3,Graduate,Yes,4527903,8018807,10,556,13177364,10142702,20545810,5864099,Approved
58,0,Not Graduate,No,3303010,31426325,11,562,9520936,5238530,20080398,697532,Rejected
59,4,Graduate,No,1269081,14036354,17,778,27034613,4330230,33895312,12375984,Approved
60,4,Graduate,No,6014730,24913820,5,604,21830613,11425896,22206664,7514743,Rejected
61,5,Not Graduate,Yes,9183268,28548916,8,325,18682547,12532564,34027756,10527194,Rejected
62,4,Graduate,No,5303724,37292825,13,745,23473697,19153515,25449724,14234146,Approved
63,2,Graduate,No,6071630,37474069,15,671,25067324,4582252,22415826,12234338,Approved
64,5,Not Graduate,Yes,6508689,31758295,7,718,20987667,5629236,12879800,5997243,Approved
65,2,Not Graduate,Yes,4007648,20134651,4,727,24016106,3222812,10036333,13742648,Approved
66,1,Not Graduate,No,1381877,15988100,11,404,20756916,18396459,3899687,6943203,Rejected
67,5,Graduate,Yes,5167690,17596124,14,884,25063605,15160709,21491449,14385373,Approved
68,2,Not Graduate,No,8715492,37571825,16,895,3019152,6409510,36117164,14436327,Approved
69,0,Graduate,Yes,3279135,8337298,2,387,10013321,18797353,495621,3258043,Rejected
70,2,Not Graduate,Yes,8740390,20863333,2,431,25834840,13659496,37348012,11452967,Rejected
71,4,Not Graduate,No,8572444,26938689,9,447,13798158,9241650,33687669,10259043,Rejected
72,1,Graduate,Yes,2599082,1185031,12,880,434998,7405646,17178660,11320614,Approved
73,2,Graduate,Yes,5835147,25187851,2,860,24677774,11042721,12293961,2466072,Approved
74,0,Graduate,Yes,7526043,10492520,5,459,19078115,1650013,22758538,7419611,Rejected
75,4,Graduate,Yes,5049979,11301304,9,679,26492598,3338021,33535654,2226516,Approved
76,2,Graduate,No,7053818,24671800,7,446,471988,18162073,1137834,13199316,Rejected
77,1,Not Graduate,Yes,9126677,648501,15,322,4273087,4008824,17614480,12837879,Rejected
78,1,Graduate,Yes,6347244,6447144,2,438,14855007,3180203,1850853,8543291,Rejected
79,3,Graduate,No,8412201,18134811,18,346,5282592,16682388,25244885,1908966,Rejected
80,4,Not Graduate,No,8049468,23195467,5,809,15152463,18327014,3005362,9653450,Approved
81,5,Graduate,Yes,8165459,4577471,10,772,10092741,15869142,12412089,6457485,Approved
82,2,Not Graduate,No,8553087,14474642,20,410,6115952,2004152,28958855,11577066,Rejected
83,0,Not Graduate,Yes,2410970,12355859,14,641,22415666,16275104,29476864,1460195,Approved
84,4,Not Graduate,No,379879,21247911,20,423,1131749,5178780,8907592,5976797,Rejected
85,3,Graduate,No,1700606,12083388,2,639,25461951,213687,20108629,5315317,Rejected
86,4,Graduate,No,2646774,373494,15,838,4475112,17865915,7230331,14013073,Approved
87,0,Not Graduate,Yes,6962946,21079015,3,828,16884988,5192329,23193324,4384318,Approved
88,1,Not Graduate,Yes,5197455,33558117,13,800,28853211,12775692,326745,14523706,Approved
89,4,Graduate,No,4792694,23221893,8,444,3296103,1431662,31900020,13553599,Rejected
90,4,Not Graduate,No,288972,14487479,16,414,26971779,3675978,897583,8630926,Rejected
91,2,Not Graduate,Yes,6900385,19209066,4,396,8839073,17087067,23855488,2567801,Rejected
92,4,Graduate,Yes,3769612,5794210,19,376,21563802,11486610,15891043,3264214,Rejected
93,5,Not Graduate,Yes,7654147,9575939,11,668,24939369,19373559,8760950,252612,Approved
94,2,Graduate,No,1305062,17466302,11,695,6742615,3499589,21233774,11391059,Approved
95,5,Not Graduate,Yes,3094072,23519581,12,830,10113849,17280305,5555994,10664643,Approved
96,1,Not Graduate,No,736046,19358150,2,354,25051516,16964176,22699119,4735437,Rejected
97,1,Not Graduate,No,2989574,38045186,7,459,2991690,17929098,25274618,10749844,Rejected
98,4,Graduate,No,9248894,25286186,15,737,3158966,966674,17950118,8483421,Approved
99,3,Graduate,Yes,5010149,1201297,20,709,8790192,2027835,14176536,12003197,Approved
100,0,Not Graduate,No,4507656,20862848,20,556,17551127,10277687,18014801,1274541,Rejected
101,4,Not Graduate,No,2880783,23146000,12,391,23475154,2244679,37500031,2923538,Rejected
102,1,Not Graduate,Yes,2795729,2006124,6,591,16370735,1231376,29523173,11868643,Rejected
103,4,Graduate,No,6739494,15392725,11,403,14360254,15741154,228261,5433942,Rejected
104,0,Graduate,No,9854733,34463283,10,621,25344547,13483441,11351149,14098578,Approved
105,4,Not Graduate,No,7517959,14290231,9,841,4992767,16374014,975124,12947366,Approved
106,4,Graduate,No,7422531,18195150,8,417,26240091,18154466,9318538,1385056,Rejected
107,4,Not Graduate,Yes,4825982,8969490,18,370,9097602,2766085,30515966,5933019,Rejected
108,3,Graduate,No,1166659,3317920,9,743,8030693,16122689,33489508,10754506,Approved
109,2,Graduate,No,7293238,12773546,2,314,27749215,849223,17915109,2004974,Rejected
110,4,Graduate,Yes,8125508,30594867,15,891,18795980,7211519,27019141,12654331,Approved
111,1,Not Graduate,No,5202288,38840125,14,765,12569962,5772222,14526652,1443323,Approved
112,4,Not Graduate,Yes,1096793,26178053,9,542,9607091,4595955,18693164,1609741,Rejected
113,3,Graduate,No,7186143,32870772,13,517,12850538,13939909,32502521,7988651,Rejected
114,2,Graduate,No,9226432,25757961,19,532,23036458,2347933,10795869,3627908,Approved
115,3,Not Graduate,Yes,2404689,26121909,19,538,4454325,15696460,12478884,9395579,Rejected
116,3,Graduate,Yes,1762522,17035029,17,804,5074321,16948305,5354007,5760507,Approved
117,0,Not Graduate,Yes,7440662,2699411,13,780,8862530,12914193,8558565,3980161,Approved
118,0,Graduate,No,3451918,16391485,2,422,14032259,1573517,1466910,12300376,Rejected
119,1,Graduate,Yes,7208216,34203037,11,408,23707366,11574551,31976047,2344383,Rejected
120,0,Graduate,No,7091114,21324475,17,624,6133034,12199286,33412722,7253439,Approved
121,2,Not Graduate,Yes,2812736,30169206,18,690,22878390,7236861,16522775,2476732,Approved
122,4,Graduate,No,614155,2283301,16,737,26413248,7124988,23260711,2013360,Approved
123,3,Not Graduate,No,5648516,8188980,20,488,12673015,9101836,9752405,3016174,Rejected
124,2,Graduate,Yes,4196137,12019144,11,589,27972903,19318099,1796516,3768654,Approved
125,5,Graduate,No,8582055,14386227,4,362,26005280,70744,20215820,6056880,Rejected
126,3,Not Graduate,No,3708195,39025452,11,573,23198477,9871172,6216625,6870454,Rejected
127,0,Not Graduate,Yes,2645322,18407323,8,713,11065534,6148474,33252268,2039825,Approved
128,4,Graduate,Yes,8629754,26257946,17,482,8748288,10646544,10958919,577184,Rejected
129,3,Graduate,No,7412602,25562549,16,491,25151990,76842,28914971,1391482,Rejected
130,3,Graduate,Yes,6259954,16722219,10,577,12848583,17807042,10312406,9275656,Rejected
131,3,Not Graduate,Yes,9548874,38180032,9,820,918557,8865791,4956401,14316998,Approved
132,3,Graduate,No,7873380,9016633,5,663,20870417,18810955,21496926,372231,Approved
133,0,Graduate,No,8689171,1653622,2,852,10104401,2991948,7186650,510857,Approved
134,3,Graduate,Yes,8030224,29512207,7,337,27228508,11322547,15658190,11478808,Rejected
135,4,Not Graduate,Yes,4134897,25929102,6,810,24882492,13188531,11498186,10656941,Approved
136,1,Graduate,Yes,811083,10503380,7,326,3036332,15445932,34582890,10787608,Rejected
137,3,Not Graduate,No,6150636,34324141,20,493,26228108,174887,19719193,2543528,Rejected
138,0,Graduate,Yes,7695952,6664908,14,556,27636231,12314474,28200899,12721967,Rejected
139,2,Graduate,No,9919348,10137893,12,442,22011939,2867664,23082720,9166898,Rejected
140,2,Graduate,No,6879774,6356984,5,894,8012939,1035552,35700716,2318377,Approved
141,5,Graduate,No,5770687,7600770,17,836,19493095,1111917,17229581,1699692,Approved
142,1,Graduate,No,5842007,28887121,14,643,25259275,14866600,33822490,8858002,Approved
143,1,Not Graduate,No,1327270,27876622,11,572,23731192,13924231,35211402,11451725,Rejected
144,2,Graduate,Yes,272263,25498162,10,757,12543790,17368453,36117670,11481105,Approved
145,5,Not Graduate,Yes,645221,34041866,12,725,20589943,13585097,27274289,8636700,Approved
146,5,Graduate,Yes,9067781,3036399,17,588,11228133,11559247,38416448,7581507,Approved
147,0,Graduate,No,7945082,24620716,15,797,7397829,2264024,29207203,10222598,Approved
148,1,Graduate,No,2749717,4809678,11,415,19579674,14843029,12218500,1922823,Rejected
149,4,Graduate,Yes,4351558,37762020,14,466,13567493,4463336,6154440,5363968,Rejected
150,0,Not Graduate,Yes,4939429,25146797,19,310,6541815,2068755,8219479,1454206,Rejected
151,5,Graduate,No,2618766,30089160,8,371,19226515,14203286,22491521,12331311,Rejected
152,1,Not Graduate,No,4342234,22687751,19,419,9362875,11407850,6473972,8906691,Rejected
153,5,Not Graduate,Yes,3607186,15339803,13,675,17105060,2904412,9315246,11425267,Approved
154,1,Not Graduate,No,7008899,27191163,5,814,10516783,10655223,24621067,7314831,Approved
155,2,Graduate,No,7622254,33061455,20,654,25756340,13404139,13043506,13669160,Approved
156,3,Graduate,No,1164630,7279125,15,567,24752569,9678421,26693894,13664534,Approved
157,0,Not Graduate,Yes,4759424,34476440,9,462,13788879,13928757,39094803,9060686,Rejected
158,3,Graduate,No,9914118,28782246,6,360,20674394,9787654,3443229,12257459,Rejected
159,3,Graduate,No,8711295,3665082,19,651,5179432,6854870,25133655,9695686,Approved
160,4,Not Graduate,No,7978881,36994982,17,384,29023615,4334430,32186006,10639113,Rejected
161,5,Not Graduate,Yes,7402271,7365154,2,775,6244337,5008727,5498302,3633526,Approved
162,3,Not Graduate,No,242383,23861172,14,545,25228330,15696891,30696208,14441232,Rejected
163,2,Graduate,No,9745339,5380103,4,510,24620245,7236964,19888187,2709922,Rejected
164,2,Not Graduate,Yes,7404846,7988296,7,316,5185018,13893777,24636178,10210777,Rejected
165,2,Graduate,No,8907337,25505383,12,445,253779,6968414,2020654,8920261,Rejected
166,4,Not Graduate,Yes,9107176,26938119,6,308,21447923,10193840,17076009,1357732,Rejected
167,1,Not Graduate,No,2694562,27229155,11,735,25291693,11776184,14384186,11387164,Approved
168,1,Not Graduate,No,335408,13748802,10,594,20846162,9267864,6023365,1140175,Rejected
169,2,Not Graduate,No,6658781,32452466,13,772,1617613,14430657,29902800,7490856,Approved
170,0,Graduate,Yes,4697975,2232079,17,639,18782768,17928370,19819217,11993277,Approved
171,0,Graduate,Yes,401321,33788094,4,873,11397261,16718001,34418941,1840328,Approved
172,0,Graduate,No,2853928,12151677,17,771,26644956,17875626,6239436,5302342,Approved
173,4,Graduate,Yes,9912846,24629210,6,388,23285128,581850,28646666,7472262,Rejected
174,4,Not Graduate,No,3761027,35798936,2,370,23248581,14730613,23715168,13586971,Rejected
175,4,Graduate,No,2757860,10315070,10,834,11861607,14095100,25520840,5614930,Approved
176,2,Not Graduate,No,6614608,16416661,7,461,9371556,8000585,12150617,1738237,Rejected
177,4,Graduate,No,6714992,32770413,5,759,23930332,6095208,27079571,1931931,Approved
178,0,Graduate,Yes,3454632,34194882,10,677,3350989,1031272,9694405,2922169,Approved
179,5,Graduate,No,8521706,9520620,18,721,2918696,16269655,29880767,12739601,Approved
180,3,Not Graduate,Yes,5887017,20239446,13,460,1808642,16299727,17289214,11365562,Rejected
181,5,Not Graduate,No,1772553,13366584,15,488,14885878,1468909,18798185,6141476,Rejected
182,0,Not Graduate,No,3384815,20565537,4,633,2195884,11293517,22763941,12457874,Rejected
183,2,Graduate,No,8509218,504479,3,313,16949993,10692785,3303567,13500515,Rejected
184,4,Graduate,Yes,1075419,36541289,8,487,4869790,3344718,14404591,12747786,Rejected
185,2,Not Graduate,No,320007,25274480,16,605,25924276,10644267,7969954,66751,Rejected
186,2,Not Graduate,No,6633710,18397355,18,422,12581757,15747891,37773253,1457347,Rejected
187,0,Graduate,No,4531376,4526302,3,471,2724382,6334322,16531423,10664480,Rejected
188,2,Not Graduate,No,2677758,3093765,11,891,20185605,14079433,231187,5612493,Approved
189,1,Graduate,No,4825969,19066938,9,474,9853279,18823947,1020272,2335530,Rejected
190,1,Graduate,No,1999126,25744242,16,842,7619146,8822679,35784151,9501879,Approved
191,4,Not Graduate,No,3866089,10504420,5,857,19187029,2074309,6145527,5225362,Approved
192,3,Graduate,No,2492255,29480211,11,705,27809043,5768894,26814,13506295,Approved
193,3,Graduate,No,5946571,15681412,18,391,28515965,2646106,8316834,8479089,Rejected
194,2,Not Graduate,Yes,6801601,733953,10,423,12673187,6843214,8495107,3513520,Rejected
195,5,Not Graduate,Yes,9165455,21353432,16,861,24684782,12498636,3131582,13738397,Approved
196,0,Graduate,Yes,863929,7397937,13,300,6092021,3931367,39056968,8825040,Rejected
197,2,Graduate,No,3404493,866993,13,602,24633006,9977404,2317853,4355585,Approved
198,0,Not Graduate,No,2791534,5400425,6,658,27412876,19362542,28541338,2109733,Approved
199,2,Not Graduate,Yes,5876747,11455676,20,803,15050011,5130662,32807192,8158661,Approved
200,5,Not Graduate,Yes,5424671,20482551,6,837,15219928,17069701,25264336,10984997,Approved
201,2,Not Graduate,No,8799133,39092788,19,470,16421104,5902872,5188341,12287805,Rejected
202,5,Graduate,Yes,9206379,8857085,20,602,2124421,11913372,28462840,1874609,Approved
203,2,Not Graduate,Yes,7775355,2550045,11,680,24984680,3046252,12924761,6352085,Approved
204,4,Graduate,Yes,2149350,7797423,18,880,21464437,5201071,16005210,14699742,Approved
205,2,Graduate,No,599186,12820225,15,634,25306104,16834624,9853851,9714746,Approved
206,1,Not Graduate,Yes,9011766,8345681,16,373,3356129,11441023,30741021,1356323,Rejected
207,4,Graduate,Yes,9439350,12899722,3,855,23346189,11048666,22730595,13481006,Approved
208,5,Not Graduate,No,2653773,38287047,4,607,10556569,9908134,6070826,10074456,Approved
209,1,Graduate,Yes,657139,15171928,3,407,23820424,4749790,15972286,6764046,Rejected
210,4,Not Graduate,Yes,6869878,25180896,2,414,28921902,18025847,31120581,11422470,Rejected
211,1,Not Graduate,No,5969833,27143412,17,422,25597228,7632362,36754399,9531523,Rejected
212,4,Graduate,No,8910575,5401524,5,733,26642914,222265,36829445,3792449,Approved
213,4,Graduate,Yes,5838466,10011557,2,870,3311054,17589690,5288419,11707818,Approved
214,2,Not Graduate,Yes,7651358,16596076,19,565,9564236,903171,33621324,3745981,Rejected
215,4,Graduate,Yes,7906625,18342558,7,358,8515805,17204718,22197290,3364996,Rejected
216,1,Graduate,No,295959,816615,17,833,14949547,5160428,28994709,8763361,Approved
217,0,Graduate,No,1654742,25578652,20,681,28404903,1340669,15121533,274375,Approved
218,0,Not Graduate,Yes,7844109,12087154,11,643,19957476,4275801,25533990,9267976,Rejected
219,2,Graduate,No,1957830,12935025,19,336,15852986,12689542,10122037,8093482,Rejected
220,5,Not Graduate,No,2220076,23937841,20,883,23425163,10588300,20426812,10591731,Approved
221,0,Graduate,Yes,7570648,37491886,4,346,5135098,2967640,8851122,2341683,Rejected
222,2,Graduate,Yes,2204171,34206558,4,666,19221750,5823448,15492752,8530321,Approved
223,4,Graduate,No,1665146,38703168,9,658,14638918,4091137,15992631,6491963,Approved
224,1,Not Graduate,No,332168,16509306,12,608,5914745,12673270,33933620,2564661,Rejected
225,4,Graduate,No,4800562,4991203,16,631,18792319,16765627,24627967,6643133,Approved
226,1,Graduate,Yes,6440742,8766422,5,539,24457852,4948888,25380376,13584909,Rejected
227,4,Not Graduate,Yes,7370152,13777739,5,644,24101259,17366692,11123584,12116908,Approved
228,3,Graduate,Yes,9074657,12069440,7,518,24535579,7916976,17048092,2449190,Rejected
229,3,Graduate,Yes,6582171,8452505,7,584,23634342,1604223,18534524,12446981,Approved
230,1,Graduate,Yes,7613125,6214366,19,707,13645915,6254993,30763835,8309006,Approved
231,2,Graduate,Yes,2263921,7622152,9,746,1432927,16954112,7272911,693467,Approved
232,5,Not Graduate,No,3536289,26104495,18,392,28090807,15684856,2120867,13524041,Rejected
233,0,Not Graduate,No,3178810,19546410,3,896,13197577,14132774,19800071,7731062,Approved
234,4,Not Graduate,No,837347,1772388,3,358,18414090,7735796,31874274,13420652,Rejected
235,2,Not Graduate,No,9695955,22402023,17,465,598559,15048781,28757099,1446254,Rejected
236,4,Graduate,Yes,2564396,33320234,6,508,25860546,13779456,31779525,2468225,Rejected
237,3,Graduate,No,4596972,16985560,3,494,25845343,15361217,15422555,13257894,Rejected
238,2,Graduate,Yes,3698062,12788911,13,511,27010636,10820776,8958352,3507459,Rejected
239,1,Not Graduate,No,635683,10984151,4,494,5060666,9840325,25868845,8075503,Rejected
240,3,Graduate,No,9052801,15173182,3,562,24530625,18755339,1476726,8847203,Rejected
241,0,Not Graduate,Yes,2351932,11221965,9,758,18183853,18370008,35103547,13939903,Approved
242,3,Graduate,No,1184123,36529190,12,797,4251661,10401665,27977351,4956315,Approved
243,0,Not Graduate,No,3555864,39191424,12,509,16604994,3886976,19752657,11080293,Rejected
244,3,Graduate,Yes,1608929,13756863,13,455,13865502,7934041,7834967,10743983,Rejected
245,3,Not Graduate,Yes,9994997,36508153,2,706,18202906,9796323,9813088,10303357,Approved
246,0,Not Graduate,No,2052171,33760873,7,335,2434637,13136232,39044054,7679343,Rejected
247,4,Not Graduate,Yes,3166377,3275234,8,567,16395423,6179920,570260,1045208,Approved
248,2,Graduate,No,2857683,19540811,7,432,19714526,880864,359951,3911523,Rejected
249,4,Graduate,Yes,458679,26036786,12,665,20823630,15955166,13620445,8246034,Approved
250,0,Not Graduate,No,326379,16847540,6,347,22382898,18410788,9007845,6042257,Rejected
251,1,Graduate,Yes,5226631,18209602,14,798,18219800,1604393,26528112,2713154,Approved
252,2,Not Graduate,Yes,2480673,19671313,19,462,20410081,6178793,1648845,10159332,Rejected
253,1,Not Graduate,No,1019332,27301513,14,608,2627737,8413362,30792410,6779583,Rejected
254,1,Not Graduate,Yes,3055504,11815519,9,643,23218489,14752158,30680104,11541577,Rejected
255,3,Not Graduate,No,2885862,23700860,10,585,10672947,15005466,8996225,8059934,Rejected
256,0,Not Graduate,Yes,4355960,9844849,13,569,15935183,6660402,22684863,5432546,Rejected
257,4,Graduate,Yes,9925356,35158694,15,460,15905868,6059413,26330019,1599861,Rejected
258,0,Graduate,No,3207525,3619189,7,764,28403177,7860427,33258633,1543285,Approved
259,1,Graduate,Yes,7105458,2925941,2,610,9463245,4665239,37734444,7455064,Approved
260,3,Graduate,Yes,7731146,1778992,15,429,11183415,8468503,4545951,5193172,Rejected
261,4,Not Graduate,No,696533,14004238,14,457,22125628,5093453,23916502,10557692,Rejected
262,1,Graduate,No,5112927,24064883,3,563,18458626,1168645,30292954,9267919,Approved
263,1,Graduate,No,4597130,38931370,13,806,9250823,13843648,9084737,4179327,Approved
264,5,Not Graduate,No,5175411,18122123,3,877,10019665,15270674,8562204,11169532,Approved
265,5,Not Graduate,No,1882047,7445585,14,533,24114709,5563583,3631858,8317426,Rejected
266,3,Graduate,No,4757665,14735186,16,537,24323575,7776066,38640975,12930990,Rejected
267,2,Not Graduate,No,1404857,5291470,2,377,4269951,7812060,33957432,14010733,Rejected
268,2,Graduate,Yes,9469105,18801900,15,627,11636727,429457,4742543,14140545,Approved
269,3,Not Graduate,No,5953241,28875703,4,444,22389323,10585960,9608439,1865406,Rejected
270,3,Not Graduate,Yes,538215,1692888,7,792,3451581,8893345,17962281,7781653,Approved
271,1,Not Graduate,No,5155428,30775459,15,621,5338844,18250745,35025914,423371,Approved
272,0,Not Graduate,Yes,9278078,9259652,8,433,4612558,7212170,32365605,12939049,Rejected
273,0,Not Graduate,No,7480093,26653123,20,850,15365244,15410342,34428873,10328279,Approved
274,5,Not Graduate,No,2874905,32267425,20,790,13122779,7577790,32468953,3852546,Approved
275,2,Not Graduate,No,8944601,30726877,20,480,9327259,3594464,24610121,8926924,Rejected
276,2,Graduate,No,2018124,26559342,3,372,3957339,6764019,11407022,8226880,Rejected
277,2,Not Graduate,Yes,2617482,27493886,5,458,18546432,17131834,23676636,7986561,Rejected
278,4,Not Graduate,Yes,1718989,7654740,5,526,23492350,4972503,19370974,7928958,Rejected
279,0,Not Graduate,Yes,9245322,5622210,13,544,6190745,16388488,37272397,14467174,Rejected
280,0,Not Graduate,No,7225723,15245126,10,794,19393970,12910194,17579869,11299803,Approved
281,1,Not Graduate,No,5276319,24142298,16,881,23146423,14457355,29635791,5916740,Approved
282,2,Graduate,Yes,6745560,24532097,7,749,16211466,14598581,6802004,11364905,Approved
283,4,Graduate,Yes,2736582,30753566,5,807,16691290,10027975,26784645,2072687,Approved
284,2,Graduate,Yes,892447,12393050,14,375,4854014,11675983,17789358,4194541,Rejected
285,2,Not Graduate,No,8488702,34228251,13,389,27856648,1354410,17081037,1724942,Rejected
286,5,Not Graduate,Yes,9649283,17906598,15,845,27834215,13561638,29586043,13022163,Approved
287,0,Graduate,No,548193,9952421,7,668,20712516,13803201,18972739,350506,Approved
288,3,Graduate,No,706513,29128362,12,441,26269711,2011747,2309529,13104946,Rejected
289,3,Not Graduate,Yes,5683192,5295285,19,775,17675210,10055838,15245707,12234378,Approved
290,2,Not Graduate,Yes,621649,16188254,13,405,19241607,9873574,37759368,13939150,Rejected
291,4,Not Graduate,No,7271891,30918746,19,761,24128517,6009633,37095783,11258733,Approved
292,1,Graduate,Yes,9464475,30527390,10,830,1109717,1282993,24082604,6727371,Approved
293,5,Graduate,No,2943781,10356695,2,593,6392762,192797,25014273,11930170,Approved
294,1,Graduate,No,3084620,6828846,16,694,5919060,4045891,10303836,14514990,Approved
295,3,Graduate,No,8662221,1551635,10,739,18412805,4482350,30590252,13119742,Approved
296,3,Not Graduate,No,3690614,3803544,2,829,7053580,4111292,23497223,11538196,Approved
297,5,Graduate,No,2554788,32648372,4,650,11360752,11750389,1458229,11271140,Approved
298,2,Not Graduate,Yes,1025919,31017280,7,476,14368738,8170360,37217670,9601854,Rejected
299,1,Not Graduate,Yes,8430768,20134852,5,421,21644317,2178747,33415111,13109386,Rejected
300,0,Graduate,Yes,9273889,22648294,15,513,15056900,1628115,3198494,6354192,Rejected
301,2,Graduate,No,969740,13104019,13,333,712059,12715122,16371421,7361622,Rejected
302,4,Not Graduate,No,8068894,7828227,8,719,19982726,18130232,29106935,12383738,Approved
303,0,Graduate,Yes,1767290,748020,3,522,12446422,15901638,28896686,3858003,Approved
304,5,Graduate,Yes,1560866,26637840,3,727,3299663,14700251,6559568,11232822,Approved
305,3,Not Graduate,No,3933649,1684835,19,337,18964525,6172659,1568992,1622567,Rejected
306,0,Not Graduate,Yes,4479560,4417009,8,493,7863385,13657391,38597629,8607706,Rejected
